2025-12-04 00:04:37,746 - INFO - 📝 Log file: /home/hdl/project/fgvr_test_new/scripts/compete_gpu_retry/logs/compete_gpu(35).log
2025-12-04 00:04:37,747 - INFO - 📄 Command file: /home/hdl/project/fgvr_test_new/scripts/compete_gpu_retry/command/command_gpu.txt
2025-12-04 00:04:37,868 - INFO - 🖥️ Using 3/10 GPUs: [0, 1, 2]
2025-12-04 00:04:37,868 - INFO - 🖥️ Reserved GPUs: [3, 4, 5, 6, 7, 8, 9] (gpu_left=2, excess=5)
2025-12-04 00:04:37,869 - INFO - 📋 Total tasks: 5, Queues: [1, 2, 3]
2025-12-04 00:04:37,869 - INFO -    Queue 1: 2 tasks
2025-12-04 00:04:37,869 - INFO -    Queue 2: 2 tasks
2025-12-04 00:04:37,869 - INFO -    Queue 3: 1 tasks
2025-12-04 00:04:37,983 - INFO - 🏁 Starting GPU competition scheduler
2025-12-04 00:04:37,983 - INFO - ============================================================
2025-12-04 00:04:37,983 - INFO - 📊 Tasks: Pending=5, Running=0, Completed=0, Failed=0
2025-12-04 00:04:37,983 - INFO -    Queue 1: 🟢 IDLE, Pending=2, Completed=0
2025-12-04 00:04:37,983 - INFO -    Queue 2: 🟢 IDLE, Pending=2, Completed=0
2025-12-04 00:04:37,983 - INFO -    Queue 3: 🟢 IDLE, Pending=1, Completed=0
2025-12-04 00:04:37,983 - INFO - ============================================================
2025-12-04 00:04:37,983 - INFO - 🔧 Starting 3 queues with 3 workers
2025-12-04 00:04:37,987 - INFO - 🚀 Queue 1: Starting with 2 tasks
2025-12-04 00:05:39,571 - INFO - ⏳ Queue 3: Waiting for GPU (1GB required, elapsed 61s) - GPU0: 🔴 (13.3GB) | GPU1: 🔴 (40.8GB) | GPU2: 🔴 (22.5GB)
2025-12-04 00:05:42,714 - INFO - ⏳ Queue 2: Waiting for GPU (1GB required, elapsed 65s) - GPU0: 🔴 (13.3GB) | GPU1: 🔴 (40.8GB) | GPU2: 🔴 (22.4GB)
2025-12-04 00:05:42,906 - INFO - ⏳ Queue 3: Waiting for GPU (1GB required, elapsed 65s) - GPU0: 🔴 (13.3GB) | GPU1: 🔴 (40.8GB) | GPU2: 🔴 (22.4GB)
2025-12-04 00:05:44,453 - INFO - ✅ Task (Queue 1) completed successfully
2025-12-04 00:05:44,453 - INFO - 🔓 GPU 1 released by queue 1
2025-12-04 00:05:44,675 - INFO - ✅ GPU 1 available: 41.6GB free (唯一候选)
2025-12-04 00:05:44,675 - INFO - 🔒 GPU 1 acquired by queue 1
2025-12-04 00:05:44,675 - INFO - 🎯 Queue 1: Executing task 2/2 on GPU 1 (retry=0)
2025-12-04 00:05:44,678 - INFO - 🚀 Starting task (Queue 1, retry=0) on GPU 1
2025-12-04 00:05:44,678 - INFO -    [1/1] [GPU 1] conda activate finer_dynamic && python /home/hdl/project/fgvr_test_new/scripts/c...
2025-12-04 00:05:46,065 - INFO - ⏳ Queue 2: Waiting for GPU (1GB required, elapsed 68s) - GPU0: 🔴 (13.4GB) | GPU1: 🔴 (41.6GB) | GPU2: 🔴 (22.4GB)
2025-12-04 00:05:46,277 - INFO - ⏳ Queue 3: Waiting for GPU (1GB required, elapsed 68s) - GPU0: 🔴 (13.4GB) | GPU1: 🔴 (41.6GB) | GPU2: 🔴 (22.4GB)
2025-12-04 00:05:49,424 - INFO - ⏳ Queue 2: Waiting for GPU (1GB required, elapsed 71s) - GPU0: 🔴 (13.4GB) | GPU1: 🔴 (41.6GB) | GPU2: 🔴 (22.4GB)
2025-12-04 00:05:49,722 - INFO - ⏳ Queue 3: Waiting for GPU (1GB required, elapsed 71s) - GPU0: 🔴 (13.4GB) | GPU1: 🔴 (41.6GB) | GPU2: 🔴 (22.4GB)
2025-12-04 00:05:52,835 - INFO - ⏳ Queue 2: Waiting for GPU (1GB required, elapsed 75s) - GPU0: 🔴 (13.4GB) | GPU1: 🔴 (40.8GB) | GPU2: 🔴 (22.4GB)
2025-12-04 00:05:53,057 - INFO - ⏳ Queue 3: Waiting for GPU (1GB required, elapsed 75s) - GPU0: 🔴 (13.4GB) | GPU1: 🔴 (40.8GB) | GPU2: 🔴 (22.4GB)
2025-12-04 00:05:56,193 - INFO - ⏳ Queue 2: Waiting for GPU (1GB required, elapsed 78s) - GPU0: 🔴 (13.4GB) | GPU1: 🔴 (40.8GB) | GPU2: 🔴 (22.5GB)
2025-12-04 00:05:56,395 - INFO - ⏳ Queue 3: Waiting for GPU (1GB required, elapsed 78s) - GPU0: 🔴 (13.4GB) | GPU1: 🔴 (40.8GB) | GPU2: 🔴 (22.5GB)
2025-12-04 00:05:59,508 - INFO - ⏳ Queue 2: Waiting for GPU (1GB required, elapsed 81s) - GPU0: 🔴 (13.4GB) | GPU1: 🔴 (40.8GB) | GPU2: 🔴 (22.5GB)
2025-12-04 00:05:59,703 - INFO - ⏳ Queue 3: Waiting for GPU (1GB required, elapsed 82s) - GPU0: 🔴 (13.4GB) | GPU1: 🔴 (40.8GB) | GPU2: 🔴 (22.5GB)
